       1	1.05937000000000003386e-01	1.05937000000000003386e-01	       2
       2	1.05738999999999999657e-01	2.11718999999999990536e-01	       2
       3	1.04338000000000000189e-01	3.16074000000000021604e-01	       2
       4	1.06298000000000003595e-01	4.22387000000000012445e-01	       2
       5	1.06000999999999998002e-01	5.28402999999999956060e-01	       2
       1	1.05733999999999994657e-01	1.05733999999999994657e-01	       2
       2	1.05190000000000005720e-01	2.10949999999999998623e-01	       2
       3	1.06108999999999994990e-01	3.17076999999999997737e-01	       2
       4	1.05005000000000001115e-01	4.22103999999999979220e-01	       2
       5	1.06071999999999999620e-01	5.28191999999999994841e-01	       2
